平台,所属模块,用例标题,前置条件,步骤,预期输出,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台,审核人
,/主干/账户信息/我的主页/创建的歌单(#37),,登录网易云账户,"1. 点击创建
2. 
3.","1. 创建歌单
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息(#29),,登录网易云账户,"1. 点击我的消息
2. 
3.","1. 看到账户的所有消息
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,登录网易云账户,"1. 点击艾特我的
2. 
3.","1. 看到所有人@的信息
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/私信(#40),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/评论(#41),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/通知(#42),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级(#30),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/vip会员(#31),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置(#32),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证(#33),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/地区(#51),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/退出(#34),,登录网易云账户,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发动态(#20),,登录网易云账户,"1. 输入动态内容
2.给动态配上音乐：任意搜索，部分歌曲需要支付费用 
3.点击发布","1. 字段不能超过140字
2. 配上歌曲
3.发布成功",,,测试,,,,,,
,/主干/关注/发布视频(#21),,登录网易云账户点击关注发布视频,"1. 点击发布作品
2. 选择合适的文件进行发布
3.点击发布","1.选择发布视频 
2. 选择不能超过1g的视频文件
3.发布成功",,,测试,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
